frame_index,timestamp_s,reference_speed_kmh,predicted_speed_kmh
226,7.533333,69,69.051842
227,7.566667,69,69.161812
228,7.600000,69,69.265099
229,7.633333,69,69.167885
230,7.666667,69,68.994835
231,7.700000,69,68.809883
232,7.733333,69,68.612961
233,7.766667,69,68.404076
234,7.800000,70,68.183212
235,7.833333,70,67.950317
236,7.866667,70,67.801430
237,7.900000,70,67.944061
238,7.933333,70,68.099327
239,7.966667,70,68.267174
240,8.000000,70,69.980125
241,8.033333,70,70.263123
242,8.066667,70,70.533119
243,8.100000,70,70.790131
244,8.133333,70,70.696976
245,8.166667,70,70.488800
246,8.200000,70,70.279488
247,8.233333,70,70.069031
248,8.266667,70,69.857430
249,8.300000,70,69.644684
250,8.333333,70,69.430779
251,8.366667,70,69.322365
252,8.400000,70,69.539551
253,8.433333,70,69.766495
254,8.466667,70,70.003151
255,8.500000,70,71.812775
256,8.533333,70,71.958351
257,8.566667,70,72.093857
258,8.600000,70,72.219299
259,8.633333,70,72.070290
260,8.666667,70,71.822357
261,8.700000,70,71.563484
262,8.733333,70,71.293633
263,8.766667,70,71.012779
264,8.800000,70,70.720879
265,8.833333,70,70.417900
266,8.866667,70,70.212219
267,8.900000,70,70.335327
268,8.933333,70,70.470810
269,8.966667,70,70.618622
270,9.000000,70,71.403320
271,9.033333,71,71.636742
272,9.066667,71,71.857323
273,9.100000,71,72.065094
274,9.133333,71,71.918442
275,9.166667,71,71.650650
276,9.200000,71,71.376381
277,9.233333,71,71.095573
278,9.266667,71,70.808235
279,9.300000,71,70.514343
280,9.333333,71,70.213867
281,9.366667,71,70.029449
282,9.400000,71,70.218353
283,9.433333,71,70.419685
284,9.466667,71,70.633438
285,9.500000,71,71.473328
286,9.533333,71,71.745415
287,9.566667,71,72.017006
288,9.600000,71,72.288086
289,9.633333,71,72.212845
290,9.666667,71,72.022034
291,9.700000,71,71.830978
292,9.733333,71,71.639671
293,9.766667,71,71.448128
294,9.800000,71,71.256340
295,9.833333,71,71.064301
296,9.866667,71,70.920120
297,9.900000,71,70.920120
298,9.933333,71,70.920120
299,9.966667,71,70.920120
